customer_id,gender,is_senior_citizen,partner,dependents,phone_service,phone_service_name,internet_service,internet_service_name,contract_type,contract_name,payment_type,monthly_charges,total_charges,tenure,total_charges2,total_charges_match,churn,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,partner_dependents,partner_dependents,service_type,tenure_months,tenure_years
0013-EXCHZ,Female,1,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Mailed check,83.9,267.4,3.187127533,83.9,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,3,< 1 year
0013-MHZWF,Female,0,No,Yes,1,One Line,1,DSL,0,Month-to-Month,Credit card (automatic),69.4,571.45,8.234149856,69.4,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,2,2,Phone and Internet,8,< 1 year
0013-SMEOE,Female,1,Yes,No,1,One Line,2,Fiber Optic,2,2 Year,Bank transfer (automatic),109.7,7904.25,72.05332726,109.7,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,72,5 + years
0014-BMAQU,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),84.65,5377.8,63.52982871,84.65,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,64,5 + years
0015-UOCOJ,Female,1,No,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,48.2,340.35,7.06120332,48.2,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,7,< 1 year
0016-QLJIS,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Mailed check,90.45,5957.9,65.86954118,90.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,66,5 + years
0017-DINOC,Male,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),45.2,2460.55,54.4369469,45.2,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Internet,54,3 - 5 years
0017-IUDMW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),116.8,8456.75,72.40368151,116.8,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,72,5 + years
0018-NYROU,Female,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,68.95,351.5,5.097897027,68.95,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,5,< 1 year
0019-EFAEP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Bank transfer (automatic),101.3,7261.25,71.68065153,101.3,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,72,5 + years
0019-GFNTW,Female,0,No,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),45.05,2560.1,56.82796892,45.05,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,Internet,57,3 - 5 years
0020-INWCK,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,2,2 Year,Credit card (automatic),95.75,6849.4,71.53420366,95.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,72,5 + years
0020-JDNXP,Female,0,Yes,Yes,0,No Phone Service,1,DSL,1,1 Year,Mailed check,61.25,1993.2,32.54204082,61.25,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,3,3,Internet,33,2 - 3 years
0021-IKXGC,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,72.1,72.1,1,72.1,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,1,< 1 year
0022-TCJCI,Male,1,No,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),62.7,2791.5,44.5215311,62.7,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,45,3 - 5 years
0023-HGHWL,Male,1,No,No,0,No Phone Service,1,DSL,0,Month-to-Month,Electronic check,25.1,25.1,1,25.1,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,Internet,1,< 1 year
0023-UYUPN,Female,1,Yes,No,2,Two or More Lines,0,No Internet Service,1,1 Year,Electronic check,25.2,1306.3,51.83730159,25.2,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,Phone,52,3 - 5 years
0023-XUOPT,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,94.1,1215.6,12.91817216,94.1,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,13,1 - 2 years
0027-KWYKW,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,83.75,1849.95,22.08895522,83.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,22,1 - 2 years
0030-FNXPP,Female,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,19.85,57.2,2.881612091,19.85,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,3,< 1 year
0031-PVLZI,Female,0,Yes,Yes,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,20.35,76.35,3.751842752,20.35,TRUE,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,3,3,Phone,4,< 1 year
0032-PGELS,Female,0,Yes,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Bank transfer (automatic),30.5,30.5,1,30.5,TRUE,Yes,TRUE,TRUE,FALSE,TRUE,FALSE,3,3,Internet,1,< 1 year
0036-IHMOT,Female,0,Yes,Yes,1,One Line,2,Fiber Optic,1,1 Year,Bank transfer (automatic),103.7,5656.75,54.54918033,103.7,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,55,3 - 5 years
0040-HALCW,Male,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Credit card (automatic),20.4,1090.6,53.46078431,20.4,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,53,3 - 5 years
0042-JVWOJ,Male,0,No,No,1,One Line,0,No Internet Service,1,1 Year,Bank transfer (automatic),19.6,471.85,24.07397959,19.6,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,24,2 - 3 years
0042-RLHYP,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),19.7,1396.9,70.90862944,19.7,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,71,5 + years
0048-LUMLS,Male,0,Yes,Yes,1,One Line,2,Fiber Optic,1,1 Year,Credit card (automatic),91.2,3247.55,35.60910088,91.2,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,36,2 - 3 years
0048-PIHNL,Female,0,Yes,No,1,One Line,0,No Internet Service,1,1 Year,Bank transfer (automatic),20.45,900.9,44.05378973,20.45,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,Phone,44,3 - 5 years
0052-DCKON,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),115.8,7942.15,68.58506045,115.8,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,69,5 + years
0052-YNYOT,Female,0,No,No,1,One Line,0,No Internet Service,1,1 Year,Electronic check,20.55,1343.4,65.37226277,20.55,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,65,5 + years
0056-EPFBG,Male,0,Yes,Yes,0,No Phone Service,1,DSL,2,2 Year,Credit card (automatic),39.4,825.4,20.94923858,39.4,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,3,3,Internet,21,1 - 2 years
0057-QBUQH,Female,0,No,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Electronic check,25.1,1070.15,42.63545817,25.1,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,2,2,Phone,43,3 - 5 years
0058-EVZWM,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),89.8,4959.6,55.22939866,89.8,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,55,3 - 5 years
0060-FUALY,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,94.75,5597.65,59.07810026,94.75,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,59,3 - 5 years
0064-SUDOG,Female,0,Yes,Yes,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),20.3,224.5,11.0591133,20.3,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,11,< 1 year
0064-YIJGF,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),75.75,1929,25.46534653,75.75,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,25,2 - 3 years
0067-DKWBL,Male,1,No,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,49.25,91.1,1.849746193,49.25,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,2,< 1 year
0068-FIGTF,Female,0,No,No,1,One Line,1,DSL,1,1 Year,Mailed check,78.2,2078.95,26.58503836,78.2,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,27,2 - 3 years
0071-NDAFP,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),25.5,630.6,24.72941176,25.5,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,25,2 - 3 years
0074-HDKDG,Male,0,Yes,Yes,1,One Line,1,DSL,1,1 Year,Bank transfer (automatic),61.6,1611,26.1525974,61.6,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,26,2 - 3 years
0076-LVEPS,Male,0,No,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Mailed check,45,1242.45,27.61,45,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,2,2,Internet,28,2 - 3 years
0078-XZMHT,Male,0,Yes,No,2,Two or More Lines,1,DSL,2,2 Year,Bank transfer (automatic),85.15,6316.2,74.17733412,85.15,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,74,5 + years
0080-EMYVY,Female,0,No,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),51.45,727.85,14.14674441,51.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,14,1 - 2 years
0080-OROZO,Female,0,No,No,1,One Line,2,Fiber Optic,1,1 Year,Electronic check,99.25,3532,35.58690176,99.25,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,36,2 - 3 years
0082-LDZUE,Male,0,No,No,1,One Line,1,DSL,0,Month-to-Month,Mailed check,44.3,44.3,1,44.3,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,1,< 1 year
0082-OQIQY,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,94.2,2607.6,27.68152866,94.2,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,28,2 - 3 years
0083-PIVIK,Male,0,No,No,2,Two or More Lines,1,DSL,1,1 Year,Electronic check,81.25,5567.55,68.52369231,81.25,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,69,5 + years
0089-IIQKO,Female,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),99.95,3767.4,37.69284642,99.95,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,38,3 - 5 years
0093-EXYQL,Female,1,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,91.55,3673.6,40.12670672,91.55,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,40,3 - 5 years
0093-XWZFY,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),104.5,4036.85,38.63014354,104.5,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,39,3 - 5 years
0094-OIFMO,Female,1,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,95,1120.3,11.79263158,95,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,12,< 1 year
0096-BXERS,Female,0,Yes,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Electronic check,50.35,314.55,6.247269116,50.35,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,6,< 1 year
0096-FCPUF,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Mailed check,64.5,1888.45,29.27829457,64.5,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,29,2 - 3 years
0098-BOWSO,Male,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Electronic check,19.4,529.8,27.30927835,19.4,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,27,2 - 3 years
0100-DUVFC,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Electronic check,104.8,7308.95,69.74188931,104.8,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,70,5 + years
0103-CSITQ,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,1,1 Year,Bank transfer (automatic),109.4,6252.7,57.15447898,109.4,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,57,3 - 5 years
0104-PPXDV,Male,0,Yes,No,1,One Line,1,DSL,1,1 Year,Credit card (automatic),50.3,2878.55,57.22763419,50.3,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,57,3 - 5 years
0106-GHRQR,Male,0,No,No,2,Two or More Lines,1,DSL,0,Month-to-Month,Bank transfer (automatic),71.4,1212.1,16.97619048,71.4,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,17,1 - 2 years
0106-UGRDO,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,116,8182.85,70.54181034,116,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,71,5 + years
0107-WESLM,Male,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Electronic check,19.85,19.85,1,19.85,TRUE,Yes,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,Phone,1,< 1 year
0107-YHINA,Male,0,No,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,99.75,99.75,1,99.75,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,2,2,Phone and Internet,1,< 1 year
0111-KLBQG,Male,1,Yes,Yes,1,One Line,2,Fiber Optic,0,Month-to-Month,Mailed check,93.95,2861.45,30.45715806,93.95,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,30,2 - 3 years
0112-QAWRZ,Male,0,Yes,Yes,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),90.8,1442.2,15.88325991,90.8,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,16,1 - 2 years
0112-QWPNC,Male,0,Yes,No,2,Two or More Lines,1,DSL,1,1 Year,Electronic check,84.35,4059.35,48.1250741,84.35,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,48,3 - 5 years
0114-IGABW,Female,0,Yes,No,0,No Phone Service,1,DSL,2,2 Year,Bank transfer (automatic),58.25,4145.9,71.17424893,58.25,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,1,1,Internet,71,5 + years
0114-PEGZZ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,107.55,3645.5,33.89586239,107.55,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,34,2 - 3 years
0114-RSRRW,Female,0,Yes,No,1,One Line,0,No Internet Service,0,Month-to-Month,Bank transfer (automatic),19.95,187.75,9.411027569,19.95,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,1,1,Phone,9,< 1 year
0115-TFERT,Male,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,111.2,2317.1,20.83723022,111.2,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,21,1 - 2 years
0117-LFRMW,Male,0,Yes,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Bank transfer (automatic),40.2,1448.8,36.039801,40.2,TRUE,Yes,FALSE,TRUE,FALSE,TRUE,FALSE,3,3,Internet,36,3 - 5 years
0118-JPNOY,Female,1,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),85.8,2193.65,25.56701632,85.8,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,26,2 - 3 years
0121-SNYRK,Male,0,No,No,0,No Phone Service,1,DSL,1,1 Year,Mailed check,35.4,1748.9,49.4039548,35.4,TRUE,No,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,Internet,49,3 - 5 years
0122-OAHPZ,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,73.85,511.25,6.92281652,73.85,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,7,< 1 year
0123-CRBRT,Female,0,Yes,Yes,2,Two or More Lines,1,DSL,2,2 Year,Mailed check,88.1,5526.75,62.73269012,88.1,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,3,3,Phone and Internet,63,5 + years
0125-LZQXK,Male,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,101.35,1553.95,15.3325111,101.35,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,15,1 - 2 years
0128-MKWSG,Female,0,No,Yes,0,No Phone Service,1,DSL,0,Month-to-Month,Mailed check,45.8,1147,25.04366812,45.8,TRUE,No,TRUE,FALSE,FALSE,TRUE,FALSE,2,2,Internet,25,2 - 3 years
0129-KPTWJ,Male,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,94.65,6747.35,71.28737454,94.65,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,71,5 + years
0129-QMPDR,Male,0,Yes,Yes,1,One Line,0,No Internet Service,1,1 Year,Bank transfer (automatic),20.5,865.05,42.19756098,20.5,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,42,3 - 5 years
0130-SXOUN,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Credit card (automatic),89.4,5976.9,66.8557047,89.4,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,67,5 + years
0133-BMFZO,Female,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,86.25,181.65,2.106086957,86.25,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,2,< 1 year
0134-XWXCE,Female,1,No,No,1,One Line,1,DSL,1,1 Year,Bank transfer (automatic),74.85,3268.05,43.66132265,74.85,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,44,3 - 5 years
0135-NMXAP,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),89.75,1052.4,11.72590529,89.75,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,12,< 1 year
0136-IFMYD,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,109.95,7634.25,69.43383356,109.95,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,69,5 + years
0137-OCGAB,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Mailed check,80.2,80.2,1,80.2,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,1,< 1 year
0137-UDEUO,Female,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Mailed check,19.85,63.75,3.211586902,19.85,TRUE,Yes,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,Phone,3,< 1 year
0139-IVFJG,Female,0,Yes,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Electronic check,90.35,190.5,2.108467072,90.35,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,2,< 1 year
0141-YEAYS,Female,1,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),86.45,2401.05,27.77385772,86.45,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,28,2 - 3 years
0142-GVYSN,Male,0,No,No,1,One Line,0,No Internet Service,0,Month-to-Month,Electronic check,20.3,511.25,25.18472906,20.3,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,25,2 - 3 years
0147-ESWWR,Female,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,101.25,3949.15,39.00395062,101.25,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,39,3 - 5 years
0148-DCDOS,Male,0,No,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),94.7,2362.1,24.94297782,94.7,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,25,2 - 3 years
0151-ONTOV,Female,0,No,No,1,One Line,2,Fiber Optic,0,Month-to-Month,Mailed check,70.9,70.9,1,70.9,TRUE,Yes,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,Phone and Internet,1,< 1 year
0156-FVPTA,Male,0,Yes,No,1,One Line,1,DSL,0,Month-to-Month,Electronic check,54.2,1152.7,21.26752768,54.2,TRUE,Yes,FALSE,TRUE,TRUE,TRUE,TRUE,1,1,Phone and Internet,21,1 - 2 years
0164-APGRB,Female,0,No,No,2,Two or More Lines,2,Fiber Optic,2,2 Year,Electronic check,114.9,8496.7,73.948651,114.9,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,0,0,Phone and Internet,74,5 + years
0164-XAIRP,Female,0,No,No,1,One Line,0,No Internet Service,2,2 Year,Bank transfer (automatic),19.55,470.2,24.0511509,19.55,TRUE,No,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,Phone,24,2 - 3 years
0168-XZKBB,Female,0,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Electronic check,86.85,1564.4,18.01266552,86.85,TRUE,No,TRUE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,18,1 - 2 years
0174-QRVVY,Male,0,Yes,Yes,2,Two or More Lines,0,No Internet Service,2,2 Year,Credit card (automatic),25.35,1847.55,72.8816568,25.35,TRUE,No,FALSE,FALSE,TRUE,FALSE,FALSE,3,3,Phone,73,5 + years
0177-PXBAT,Male,1,Yes,No,2,Two or More Lines,2,Fiber Optic,0,Month-to-Month,Bank transfer (automatic),109.9,3694.7,33.61874431,109.9,TRUE,No,FALSE,FALSE,TRUE,TRUE,TRUE,1,1,Phone and Internet,34,2 - 3 years
